Peter,Griffin,Peter.Griffin@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-6109,1,2016-01-20
Lois,Griffin,Lois.Griffin@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-3862,1,2016-04-13
Meg,Griffin,Meg.Griffin@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-9015,1,2016-06-28
Chris,Griffin,Chris.Griffin@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-4211,0,2016-02-25
Stewie,Griffin,Stewie.Griffin@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-9944,1,2016-08-13
Brian,Griffin,Brian.Griffin@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-8811,0,2016-01-28
Francis,Griffin,Francis.Griffin@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-2527,0,2016-06-10
Thelma,Griffin,Thelma.Griffin@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-6357,1,2016-02-12
Carter,Pewterschmidt,Carter.Pewterschmidt@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-6625,0,2016-04-17
Barbara,Pewterschmidt,Barbara.Pewterschmidt@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-5571,0,2016-04-28
Carol,Pewterschmidt-West,Carol.Pewterschmidt-West@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-2084,1,2016-04-04
Patrick,Pewterschmidt,Patrick.Pewterschmidt@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-6813,0,2016-03-13
Mickey,McFinnigan,Mickey.McFinnigan@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-2714,1,2016-06-04
Dylan,Flannigan,Dylan.Flannigan@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-1354,1,2016-08-04
Glenn,Quagmire,Glenn.Quagmire@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-3200,1,2016-08-27
John,Herbert,John.Herbert@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-6660,0,2016-02-01
Cleveland,Brown,Cleveland.Brown@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-1897,0,2016-08-14
Loretta,Brown,Loretta.Brown@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-4253,1,2016-03-07
Donna,Tubbs-Brown,Donna.Tubbs-Brown@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-7719,1,2016-07-09
Roberta,Tubbs,Roberta.Tubbs@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-8994,0,2016-08-03
Rallo,Tubbs,Rallo.Tubbs@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-4588,1,2016-07-20
Joe,Swanson,Joe.Swanson@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-5866,1,2016-02-11
Bonnie,Swanson,Bonnie.Swanson@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-2127,1,2016-07-09
Kevin,Swanson,Kevin.Swanson@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-5581,1,2016-04-16
Mort,Goldman,Mort.Goldman@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-6584,0,2016-04-05
Muriel,Goldman,Muriel.Goldman@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-4607,1,2016-07-19
Neil,Goldman,Neil.Goldman@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-9169,1,2016-03-15
Tom,Tucker,Tom.Tucker@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-6439,1,2016-01-13
Joyce,Kinney,Joyce.Kinney@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-1271,0,2016-06-13
Diane,Simmons,Diane.Simmons@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-2190,1,2016-07-06
Ollie,Williams,Ollie.Williams@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-1268,0,2016-01-01
Tricia,Takanawa,Tricia.Takanawa@dsiti.qld.gov.au,Soil survey department,Soil surveyor,+61-7-3170-8852,1,2016-07-18
